ImageId,FeatureId,X,Y
Default,RH,203,293
Default,LH,69,293
RightDown,RH,238,279
RightDown,LH,67,292
RightOut,RH,250,244
RightOut,LH,70,291
RightUp,RH,240,205
RightUp,LH,69,291
LeftDown,RH,203,291
LeftDown,LH,27,277
LeftOut,RH,201,292
LeftOut,LH,18,241
LeftUp,RH,203,291
LeftUp,LH,30,205
BothUp,LH,32,204
BothUp,RH,240,204
BothDown,LH,32,278
BothDown,RH,239,276
BothOut,LH,21,239
BothOut,RH,253,241
LeftOutRightDown,LH,18,241
LeftOutRightDown,RH,238,279
LeftOutRightUp,LH,18,241
LeftOutRightUp,RH,240,205
LeftUpRightDown,LH,30,205
LeftUpRightDown,RH,238,279
LeftUpRightOut,LH,30,205
LeftUpRightOut,RH,250,244
LeftDownRightOut,LH,27,277
LeftDownRightOut,RH,250,244
LeftDownRightUp,LH,27,277
LeftDownRightUp,RH,240,205
Float1,Belly,136,210
Float2,Belly,136,143
Default,Belly,136,271
BothDown,Belly,136,271
BothOut,Belly,136,271
BothUp,Belly,136,271
LeftDown,Belly,136,271
LeftDownRightOut,Belly,136,271
LeftDownRightUp,Belly,136,271
LeftOut,Belly,136,271
LeftOutRightDown,Belly,136,271
LeftOutRightUp,Belly,136,271
LeftUp,Belly,136,271
LeftUpRightDown,Belly,136,271
LeftUpRightOut,Belly,136,271
RightDown,Belly,136,271
RightOut,Belly,136,271
RightUp,Belly,136,271
Default,LF,116,347
Default,RF,155,348
BothDown,RF,155,348
BothOut,RF,155,348
BothUp,RF,155,348
LeftDown,RF,155,348
LeftDownRightOut,RF,155,348
LeftDownRightUp,RF,155,348
LeftOut,RF,155,348
LeftOutRightDown,RF,155,348
LeftOutRightUp,RF,155,348
LeftUp,RF,155,348
LeftUpRightDown,RF,155,348
LeftUpRightOut,RF,155,348
RightDown,RF,155,348
RightOut,RF,155,348
RightUp,RF,155,348
BothDown,LF,116,347
BothOut,LF,116,347
BothUp,LF,116,347
LeftDown,LF,116,347
LeftDownRightOut,LF,116,347
LeftDownRightUp,LF,116,347
LeftOut,LF,116,347
LeftOutRightDown,LF,116,347
LeftOutRightUp,LF,116,347
LeftUp,LF,116,347
LeftUpRightDown,LF,116,347
LeftUpRightOut,LF,116,347
RightDown,LF,116,347
RightOut,LF,116,347
RightUp,LF,116,347
TipsyUL,LH,52,278
TipsyUL,RH,187,282
TipsyUL,Belly,121,264
TipsyUL,LF,108,339
TipsyUL,RF,138,337
TipsyUR,LH,82,288
TipsyUR,RH,222,291
TipsyUR,LF,130,340
TipsyUR,RF,199,332
TipsyUR,Belly,154,274
TipsyLL,LH,54,307
TipsyLL,RH,185,304
TipsyLL,LF,75,360
TipsyLL,RF,149,366
TipsyLL,Belly,132,281
TipsyLR,LH,79,310
TipsyLR,RH,227,306
TipsyLR,LF,140,364
TipsyLR,RF,193,353
TipsyLR,Belly,150,292
MidAir,LH,19,222
MidAir,RH,248,221
MidAir,LF,111,328
MidAir,RF,160,333
MidAir,Belly,133,258
BothUpBothLegsOut,LH,129,257
BothUpBothLegsOut,RH,237,205
BothUpBothLegsOut,LF,93,350
BothUpBothLegsOut,RF,182,349
BothUpBothLegsOut,Belly,135,278
Float1BothDown,Belly,136,210
Float1BothOut,Belly,136,210
Float1BothUp,Belly,136,210
Float1BothUp,LH,33,147
Float1BothUp,RH,237,147
Float2BothDown,Belly,136,143
Float2BothOut,Belly,136,143
Float2BothUp,Belly,136,143
Float2BothUp,LH,34,78
Float2BothUp,RH,234,79
HangRight,RH,146,63
HangLeft,LH,116,65
TiltLeft,Belly,137,264
TiltLeft,LH,20,250
TiltLeft,RH,222,187
TiltLeft,LF,127,352
TiltLeft,RF,204,309
TiltRight,Belly,137,264
TiltRight,LH,43,189
TiltRight,RH,250,248
TiltRight,LF,67,309
TiltRight,RF,145,345
