ca.rmen.nounours.lwp.robot - Cumulative average rating by Android Version for 2011-06-26 - 2019-02-24
,,Metric,Cumulative average rating,Notes
,,Dimension,All Android versions
Period,Date
2011-06-26 - 2019-02-24,2011-06-26,,4.67
2011-06-26 - 2019-02-24,2011-06-27,,4.83
2011-06-26 - 2019-02-24,2011-06-28,,4.83
2011-06-26 - 2019-02-24,2011-06-29,,4.83
2011-06-26 - 2019-02-24,2011-06-30,,4.83
2011-06-26 - 2019-02-24,2011-07-01,,4.83
2011-06-26 - 2019-02-24,2011-07-02,,4.83
2011-06-26 - 2019-02-24,2011-07-03,,4.83
2011-06-26 - 2019-02-24,2011-07-04,,4.86
2011-06-26 - 2019-02-24,2011-07-05,,4.78
2011-06-26 - 2019-02-24,2011-07-06,,4.78
2011-06-26 - 2019-02-24,2011-07-07,,4.78
2011-06-26 - 2019-02-24,2011-07-08,,4.78
2011-06-26 - 2019-02-24,2011-07-09,,4.70
2011-06-26 - 2019-02-24,2011-07-10,,4.70
2011-06-26 - 2019-02-24,2011-07-11,,4.45
2011-06-26 - 2019-02-24,2011-07-12,,4.45
2011-06-26 - 2019-02-24,2011-07-13,,4.17
2011-06-26 - 2019-02-24,2011-07-14,,4.17
2011-06-26 - 2019-02-24,2011-07-15,,4.17
2011-06-26 - 2019-02-24,2011-07-16,,4.23
2011-06-26 - 2019-02-24,2011-07-17,,4.23
2011-06-26 - 2019-02-24,2011-07-18,,4.23
2011-06-26 - 2019-02-24,2011-07-19,,4.29
2011-06-26 - 2019-02-24,2011-07-20,,4.29
2011-06-26 - 2019-02-24,2011-07-21,,4.29
2011-06-26 - 2019-02-24,2011-07-22,,4.29
2011-06-26 - 2019-02-24,2011-07-23,,4.07
2011-06-26 - 2019-02-24,2011-07-24,,3.88
2011-06-26 - 2019-02-24,2011-07-25,,3.71
2011-06-26 - 2019-02-24,2011-07-26,,3.71
2011-06-26 - 2019-02-24,2011-07-27,,3.71
2011-06-26 - 2019-02-24,2011-07-28,,3.71
2011-06-26 - 2019-02-24,2011-07-29,,3.71
2011-06-26 - 2019-02-24,2011-07-30,,3.78
2011-06-26 - 2019-02-24,2011-07-31,,3.78
2011-06-26 - 2019-02-24,2011-08-01,,3.63
2011-06-26 - 2019-02-24,2011-08-02,,3.50
2011-06-26 - 2019-02-24,2011-08-03,,3.50
2011-06-26 - 2019-02-24,2011-08-04,,3.50
2011-06-26 - 2019-02-24,2011-08-05,,3.50
2011-06-26 - 2019-02-24,2011-08-06,,3.50
2011-06-26 - 2019-02-24,2011-08-07,,3.50
2011-06-26 - 2019-02-24,2011-08-08,,3.50
2011-06-26 - 2019-02-24,2011-08-09,,3.50
2011-06-26 - 2019-02-24,2011-08-10,,3.57
2011-06-26 - 2019-02-24,2011-08-11,,3.57
2011-06-26 - 2019-02-24,2011-08-12,,3.57
2011-06-26 - 2019-02-24,2011-08-13,,3.52
2011-06-26 - 2019-02-24,2011-08-14,,3.52
2011-06-26 - 2019-02-24,2011-08-15,,3.52
2011-06-26 - 2019-02-24,2011-08-16,,3.52
2011-06-26 - 2019-02-24,2011-08-17,,3.52
2011-06-26 - 2019-02-24,2011-08-18,,3.52
2011-06-26 - 2019-02-24,2011-08-19,,3.52
2011-06-26 - 2019-02-24,2011-08-20,,3.58
2011-06-26 - 2019-02-24,2011-08-21,,3.56
2011-06-26 - 2019-02-24,2011-08-22,,3.54
2011-06-26 - 2019-02-24,2011-08-23,,3.54
2011-06-26 - 2019-02-24,2011-08-24,,3.54
2011-06-26 - 2019-02-24,2011-08-25,,3.54
2011-06-26 - 2019-02-24,2011-08-26,,3.54
2011-06-26 - 2019-02-24,2011-08-27,,3.48
2011-06-26 - 2019-02-24,2011-08-28,,3.48
2011-06-26 - 2019-02-24,2011-08-29,,3.48
2011-06-26 - 2019-02-24,2011-08-30,,3.48
2011-06-26 - 2019-02-24,2011-08-31,,3.48
2011-06-26 - 2019-02-24,2011-09-01,,3.48
2011-06-26 - 2019-02-24,2011-09-02,,3.48
2011-06-26 - 2019-02-24,2011-09-03,,3.48
2011-06-26 - 2019-02-24,2011-09-04,,3.43
2011-06-26 - 2019-02-24,2011-09-05,,3.43
2011-06-26 - 2019-02-24,2011-09-06,,3.34
2011-06-26 - 2019-02-24,2011-09-07,,3.34
2011-06-26 - 2019-02-24,2011-09-08,,3.34
2011-06-26 - 2019-02-24,2011-09-09,,3.34
2011-06-26 - 2019-02-24,2011-09-10,,3.34
