ImageId,FeatureId,AdjacentImageId
Default,RH,RightDown
Default,LH,LeftDown
LeftOut,LH,LeftUp
LeftOut,LH,LeftDown
RightDown,RH,RightOut
RightOut,RH,RightUp
RightOut,LH,BothOut
RightDown,LH,BothDown
RightUp,LH,BothUp
LeftDown,RH,BothDown
LeftOut,RH,BothOut
LeftUp,RH,BothUp
LeftOutRightDown,LH,LeftUpRightDown
LeftOutRightDown,LH,BothDown
LeftOutRightDown,RH,BothOut
LeftOutRightDown,RH,LeftOut
LeftOutRightUp,LH,LeftDownRightUp
LeftOutRightUp,LH,BothUp
LeftOutRightUp,RH,BothOut
LeftUpRightDown,LH,LeftOutRightDown
LeftUpRightDown,RH,LeftUp
LeftUpRightDown,RH,LeftUpRightOut
LeftUpRightOut,LH,BothOut
LeftUpRightOut,RH,BothUp
LeftUpRightOut,RH,LeftUpRightDown
LeftDownRightOut,LH,RightOut
LeftDownRightOut,LH,BothOut
LeftDownRightOut,RH,BothDown
LeftDownRightOut,RH,LeftDownRightUp
LeftDownRightUp,LH,LeftOutRightUp
LeftDownRightUp,LH,RightUp
LeftDownRightUp,RH,LeftDownRightOut
Default,Belly,Float1
Float1,Belly,Float2
LeftOut,Belly,Float1
RightOut,Belly,Float1
LeftUp,Belly,Float1
RightUp,Belly,Float1
LeftDown,Belly,Float1
RightDown,Belly,Float1
LeftOutRightDown,Belly,Float1
LeftOutRightUp,Belly,Float1
LeftUpRightDown,Belly,Float1
LeftUpRightOut,Belly,Float1
LeftDownRightOut,Belly,Float1
LeftDownRightUp,Belly,Float1
Default,Belly,TipsyLL
Default,Belly,TipsyUL
Default,Belly,TipsyLR
Default,Belly,TipsyUR
TipsyLL,Belly,TipsyUL
TipsyLL,Belly,TipsyLR
TipsyLR,Belly,TipsyUR
TipsyUR,Belly,TipsyLR
TipsyUL,Belly,Float1
TipsyUR,Belly,Float2
BothOut,Belly,Float1BothOut
BothUp,Belly,Float1BothUp
BothDown,Belly,Float1BothDown
Float1BothOut,Belly,Float2BothOut
Float1BothUp,Belly,Float2BothUp
Float1BothDown,Belly,Float2BothDown
BothUp,RH,Float1BothUp
LeftDownRightUp,RH,Float1BothUp
LeftOutRightUp,RH,Float1BothUp
RightUp,RH,Float1BothUp
Float1BothUp,RH,Float2BothUp
BothUp,LH,Float1BothUp
Float1BothUp,LH,Float2BothUp
LeftUpRightDown,LH,Float1BothUp
LeftUpRightOut,LH,Float1BothUp
LeftUp,LH,Float1BothUp
Float1BothUp,RH,HangRight
Float2BothUp,RH,HangRight
Float1BothUp,LH,HangLeft
Float2BothUp,LH,HangLeft
Default,LF,BothUpBothLegsOut
Default,RF,BothUpBothLegsOut
TipsyLL,RF,BothUpBothLegsOut
TipsyLR,LF,BothUpBothLegsOut
BothUpBothLegsOut,RH,Float1BothUp
BothUpBothLegsOut,LH,Float1BothUp
TiltRight,LF,BothOut
TiltLeft,RF,BothOut
TipsyLL,LH,TiltRight
TipsyLL,RH,TiltRight
TipsyLL,LF,TiltRight
TipsyUL,LH,TiltRight
TipsyUL,RH,TiltRight
TipsyUL,LF,TiltRight
TipsyUR,LH,TiltLeft
TipsyUR,RH,TiltLeft
TipsyUR,RF,TiltLeft
TipsyLR,LH,TiltLeft
TipsyLR,RH,TiltLeft
TipsyLR,RF,TiltLeft
TiltLeft,RH,HangRight
TiltRight,LH,HangLeft
TiltLeft,Belly,Float1BothUp
TiltLeft,RH,Float1BothUp
TiltLeft,LH,Float1BothUp
TiltLeft,Belly,Float1BothOut
TiltLeft,RH,Float1BothOut
TiltLeft,LH,Float1BothOut
TiltLeft,Belly,Float1BothDown
TiltLeft,RH,Float1BothDown
TiltLeft,LH,Float1BothDown
TiltRight,Belly,Float1BothUp
TiltRight,RH,Float1BothUp
TiltRight,LH,Float1BothUp
TiltRight,Belly,Float1BothOut
TiltRight,RH,Float1BothOut
TiltRight,LH,Float1BothOut
TiltRight,Belly,Float1BothDown
TiltRight,RH,Float1BothDown
TiltRight,LH,Float1BothDown
BothUpBothLegsOut,LH,TiltLeft
BothUpBothLegsOut,RF,TiltLeft
BothUpBothLegsOut,RH,TiltRight
BothUpBothLegsOut,LF,TiltRight
